,time,wait,com
2018-10-01 07:44:00,1538351040000,5430,1228
2018-10-01 07:45:00,1538351100000,3109,3109
2018-10-01 07:46:00,1538351160000,2275,2275
2018-10-01 07:47:00,1538351220000,2703,2703
2018-10-01 07:48:00,1538351280000,4134,4134
2018-10-01 07:49:00,1538351340000,3804,3804
2018-10-01 07:50:00,1538351400000,2716,2716
2018-10-01 07:51:00,1538351460000,2863,2863
2018-10-01 07:52:00,1538351520000,2184,1363
2018-10-01 07:53:00,1538351580000,2663,2663
2018-10-01 07:54:00,1538351640000,5291,5291
2018-10-01 07:55:00,1538351700000,2708,2708
2018-10-01 07:56:00,1538351760000,2245,2245
2018-10-01 07:57:00,1538351820000,1095,1095
2018-10-01 07:58:00,1538351880000,1451,1451
2018-10-01 07:59:00,1538351940000,1526,1526
2018-10-01 08:00:00,1538352000000,1589,1589
2018-10-01 08:01:00,1538352060000,1358,1358
2018-10-01 08:02:00,1538352120000,2012,2012
2018-10-01 08:03:00,1538352180000,1767,1767
2018-10-01 08:04:00,1538352240000,0,1060
2018-10-01 08:05:00,1538352300000,3095,1176
2018-10-01 08:06:00,1538352360000,3004,1824
2018-10-01 08:07:00,1538352420000,3781,1259
2018-10-01 08:08:00,1538352480000,4255,2106
2018-10-01 08:09:00,1538352540000,4085,1053
2018-10-01 08:10:00,1538352600000,5676,5676
2018-10-01 08:11:00,1538352660000,4577,2266
2018-10-01 08:12:00,1538352720000,3799,2187
2018-10-01 08:13:00,1538352780000,3886,2517
2018-10-01 08:14:00,1538352840000,2868,1460
2018-10-01 08:15:00,1538352900000,1938,1938
2018-10-01 08:16:00,1538352960000,3454,3454
2018-10-01 08:17:00,1538353020000,3030,3030
2018-10-01 08:18:00,1538353080000,3339,3339
2018-10-01 08:19:00,1538353140000,1909,1909
2018-10-01 08:20:00,1538353200000,4756,4756
2018-10-01 08:21:00,1538353260000,2128,2128
2018-10-01 08:22:00,1538353320000,1912,1037
2018-10-01 08:23:00,1538353380000,1980,1980
2018-10-01 08:24:00,1538353440000,4025,4025
2018-10-01 08:25:00,1538353500000,1200,1200
2018-10-01 08:26:00,1538353560000,969,1821
2018-10-01 08:27:00,1538353620000,1886,1886
2018-10-01 08:28:00,1538353680000,2200,2200
2018-10-01 08:29:00,1538353740000,1564,1564
2018-10-01 08:30:00,1538353800000,1177,1177
2018-10-01 08:31:00,1538353860000,1478,1478
2018-10-01 08:32:00,1538353920000,1803,1803
2018-10-01 08:33:00,1538353980000,2914,2914
2018-10-01 08:34:00,1538354040000,4290,4290
2018-10-01 08:35:00,1538354100000,3640,1048
2018-10-01 08:36:00,1538354160000,0,1778
2018-10-01 08:37:00,1538354220000,3771,1947
2018-10-01 08:38:00,1538354280000,3150,1381
2018-10-01 08:39:00,1538354340000,3820,2142
2018-10-01 08:40:00,1538354400000,3239,1636
2018-10-01 08:41:00,1538354460000,3490,1937
2018-10-01 08:42:00,1538354520000,2897,1207
2018-10-01 08:43:00,1538354580000,2893,1535
2018-10-01 08:44:00,1538354640000,2365,2365
2018-10-01 08:45:00,1538354700000,5502,1241
2018-10-01 08:46:00,1538354760000,1949,1485
2018-10-01 08:47:00,1538354820000,1843,1843
